emotion	sub_emotion	condition	sub_condition	cbt_exercise	wellness_challenge
Happiness	Excitement	Social	With friends	Plan the first project step together	Start weekly collaborative project sessions
Happiness	Excitement	Outdoor	Alone in nature	Visualize goals using all five senses	Explore a new outdoor location weekly
Happiness	Excitement	Home	Planning activities	List three achievable things to anticipate	Plan monthly local adventure outings
Happiness	Excitement	Travel	Family journey	Share positive observations during travel	Start family gratitude sharing rituals
Happiness	Excitement	Entertainment	Group event	Immerse fully in the live experience	Try a new entertainment activity monthly
Happiness	Joy	Home	With pets	Connect mindfully with your animals	Volunteer at local animal shelters monthly
Happiness	Joy	Home	Cooking for others	Infuse intention and care into preparation	Cook a special meal for yourself weekly
Happiness	Joy	Digital	Receiving good news	Journal about its personal significance	Maintain a daily joy recording practice
Happiness	Joy	Outdoor	Watching children play	Observe their play without interfering	Schedule weekly playful activities for yourself
Happiness	Joy	Outdoor	Beautiful weather	Savor the sensory weather experiences	Spend intentional time outdoors daily
Happiness	Contentment	Home	Quiet moments	Identify and embrace the contentment	Establish daily calming rituals
Happiness	Contentment	Home	Bedtime routine	Perform body scan for positive sensations	Practice nightly gratitude reflection
Happiness	Contentment	Home	After completing tasks	Verbally acknowledge what you finished	Practice weekly decluttering sessions
Happiness	Contentment	Outdoor	Solitary walks	Synchronize breathing with your steps	Take weekly digital detox walks
Happiness	Contentment	Social	Companionable silence	Express quiet appreciation to others	Schedule regular device-free time together
Happiness	Amusement	Home	Solo entertainment	Allow yourself to laugh freely	Follow positive humor content regularly
Happiness	Amusement	Social	Story sharing	Share and exaggerate amusing anecdotes	Keep an amusement and humor journal
Happiness	Amusement	Public	People watching	Share funny observations with others	Join improvisational comedy activities
Happiness	Amusement	Social	Playing group games	Focus on the play experience itself	Host weekly game nights with friends
Happiness	Amusement	Home	Reading comedy	Analyze the mechanics of humor	Start a comedy-focused book club
Happiness	Serenity	Home	Looking out windows	Mindfully identify the sounds you hear	Create a personal calm space at home
Happiness	Serenity	Outdoor	Garden time	Focus on small natural details	Practice morning silence rituals
Happiness	Serenity	Home	After exercising	Notice the physical relaxation present	Practice daily mindfulness minutes
Happiness	Serenity	Public	In quiet spaces	Match the peaceful pace of environment	Visit a peaceful place weekly
Happiness	Serenity	Home	Early morning hours	Cherish the morning stillness	Wake up early for quiet time
Happiness	Pride	Work	After achievement	List your specific successes	Maintain an ongoing accomplishment file
Happiness	Pride	Fitness	Reaching personal best	Acknowledge the journey of progress	Set weekly process-oriented goals
Happiness	Pride	Family	Sharing success	Accept compliments fully and graciously	Mentor someone in your field monthly
Happiness	Pride	Home	After problem solving	Praise your persistence out loud	Create visual progress tracking systems
Happiness	Pride	Home	After organizing	Make mental before-and-after comparisons	Organize one area monthly
Anger	Rage	Travel	Solo commute	Practice systematic progressive muscle release	Establish pre-commute breathing routines
Anger	Rage	Home	After conflict	Release energy through safe physical activity	Channel anger into structured workouts
Anger	Rage	Public	In crowds	Find a cooling-off space immediately	Identify your personal crowd triggers
Anger	Rage	Digital	Reading messages	Write a response then delete it	Implement a 24-hour response waiting rule
Anger	Rage	Work	Feeling disrespected	Ground yourself through your feet	Practice assertive communication skills
Anger	Frustration	Home	Dealing with broken items	Step away then approach systematically	Learn basic repair skills
Anger	Frustration	Shopping	Waiting in lines	Observe your environment mindfully	Shop during off-peak hours
Anger	Frustration	Work	Facing difficult tasks	Use a timed break system	Implement the Pomodoro technique
Anger	Frustration	Home	Gaming losses	Remind yourself of the learning process	Set reasonable loss limits for gaming
Anger	Frustration	Phone	Automated customer service	Practice extended exhale breathing	Prepare mentally before calling
Anger	Irritation	Home	Noise pollution	Name the irritation feeling specifically	Invest in noise-canceling solutions
Anger	Irritation	Social	Hearing annoying sounds	Redirect attention to your breathing	Use irritation as a mindfulness cue
Anger	Irritation	Public	Slow-moving people	Treat it as an observation opportunity	Schedule extra buffer time into plans
Anger	Irritation	Work	Slow technology	Take a brief stretching break	Organize your digital workspace
Anger	Irritation	Social	Being interrupted	Use a physical pause as reminder	Practice active listening techniques
Anger	Annoyance	Work	Coworker habits	Recognize your internal narrative about it	Communicate respectfully in private
Anger	Annoyance	Digital	Constant notifications	Use strategic focus modes	Curate your notification settings
Anger	Annoyance	Social	Waiting for people	Use the wait time productively	Carry entertainment for waiting periods
Anger	Annoyance	Social	Differing viewpoints	Ask curious open-ended questions	Practice finding common ground
Anger	Annoyance	Work	Bureaucratic processes	Celebrate small completion milestones	Create organized work systems
Anger	Resentment	Home	Others' success	Acknowledge your genuine happiness for them	Focus on personal growth goals
Anger	Resentment	Family	Feeling unappreciated	Communicate your needs clearly	Schedule regular family check-ins
Anger	Resentment	Work	Extra duties assigned	Journal to identify boundary needs	Practice polite refusal techniques
Anger	Resentment	Home	Past injustices	Visualize storing the memory away	Practice forgiveness meditation
Anger	Resentment	Social	Around past offenders	Use five-senses grounding technique	Minimize contact when possible
Anger	Indignation	Social	Unjust debates	Ask open-ended clarifying questions	Consider background contexts
Anger	Indignation	Digital	Political content online	Research the ethics involved	Channel into constructive action
Anger	Indignation	Public	Witnessing unfairness	Use as fuel for advocacy	Educate yourself on social justice
Anger	Indignation	Work	Incompetent colleagues	Focus on your personal responsibilities	Document issues professionally
Anger	Indignation	Digital	Harmful content	Remove triggering sources	Curate positive online spaces
Sadness	Grief	Home	Mourning alone	Connect with meaningful objects	Create a memory collection
Sadness	Grief	Memorial	At significant places	Name emotions as they flow	Plan remembrance activities
Sadness	Grief	Shopping	Memory triggers	Allow enjoyment associated with memories	Share stories about your loved one
Sadness	Grief	Sleep	Meaningful dreams	Record and process the dreams	Join a grief support community
Sadness	Grief	Home	During holidays	Create symbolic remembrance rituals	Establish new meaningful traditions
Sadness	Disappointment	Home	Personal rejection	Reframe as redirection toward better fit	Extract learning from the experience
Sadness	Disappointment	Social	Canceled plans	Find enjoyment in unexpected free time	Maintain a backup activity list
Sadness	Disappointment	Home	Missed goals	Acknowledge the effort you put in	Break goals into tiny achievable steps
Sadness	Disappointment	Social	Friend letdowns	Write unsent feelings letters	Practice clear direct communication
Sadness	Disappointment	Sports	Team losses	Focus on positive moments during game	Plan fun team bonding activities
Sadness	Loneliness	Public	Dining alone	Smile at other solo diners	Accept social invitations more often
Sadness	Loneliness	Home	Weekend evenings	Reach out to check in with friends	Join interest-based groups
Sadness	Loneliness	Relationship	Long distance	Share what you're missing about them	Schedule quality video call time
Sadness	Loneliness	New city	Exploring alone	Become a regular at local spots	Use social meetup apps actively
Sadness	Loneliness	Digital	On social media	Notice how posts are curated	Replace scrolling with skill learning
Sadness	Guilt	Home	After conflict outbursts	Make specific sincere apologies	Practice pause-and-breathe responses
Sadness	Guilt	Home	Food choices made	Use kind compassionate self-talk	Adopt balanced eating approaches
Sadness	Guilt	Home	Unproductive days	List what you did accomplish	Schedule intentional rest time
Sadness	Guilt	Home	Past mistakes remembered	Write self-amends letters	Perform random acts of kindness
Sadness	Guilt	Shopping	Personal purchases	Reframe as necessary self-care	Include fun in your budget
Sadness	Hopelessness	Home	Morning struggles	Set tiny achievable movement goals	Make your bed as morning ritual
Sadness	Hopelessness	Digital	News overload	Seek solution-focused content instead	Set daily news consumption limits
Sadness	Hopelessness	Home	Future worries	Focus only on the next 24 hours	Volunteer for a meaningful cause
Sadness	Hopelessness	Life	Multiple failures	List past challenges you've overcome	Seek professional mental health support
Sadness	Hopelessness	Work	Toxic work environments	Find meaningful aspects of your role	Update job search materials
Sadness	Regret	Home	Past decisions	Write compassionate letter to younger self	Practice value-aligned living now
Sadness	Regret	Social	Lost connections	Bring attention back to present moment	Reconnect with one old friend
Sadness	Regret	Finance	Missed financial opportunities	Extract lessons for future decisions	Start an opportunity fund now
Sadness	Regret	Social	Words left unspoken	Practice responses for future situations	Build assertiveness skills
Sadness	Regret	Life	Alternative life paths	Imagine challenges of those other paths	Explore new interests today
Fear	Shock	Home	Receiving bad news	Ground yourself by sitting down	List immediate actionable steps
Fear	Shock	Public	Witnessing an accident	Take calm deep breaths	Learn emergency response skills
Fear	Shock	Outdoor	Loud unexpected noises	Name safe objects around you	Practice calming self-touch
Fear	Shock	Finance	Discovering account issues	Write down numbers then take first step	Set up financial alerts
Fear	Shock	Social	Unexpected confrontations	Keep responses simple and clear	Practice conflict management skills
Fear	Anxiety	Social	Before events	Focus on learning about others	Adjust by arriving slightly early
Fear	Anxiety	Home	Night worries	Write thoughts down on paper	Schedule designated worry time
Fear	Anxiety	Healthcare	In waiting rooms	Describe environment neutrally	Prepare list of questions beforehand
Fear	Anxiety	Work	After working hours	Verbalize your time boundaries	Set communication curfews
Fear	Anxiety	Travel	Before flights	Identify controllable factors	Learn facts about travel safety
Fear	Nervousness	Job	Before interviews	Pose confidently beforehand	Practice with mock interviews
Fear	Nervousness	Dating	First dates	Remember they're nervous too	Choose activity-based dates
Fear	Nervousness	Work	Speaking up in meetings	Plan your opening statement	Volunteer for small presentations
Fear	Nervousness	Public	Giving presentations	Connect with friendly faces	Familiarize yourself with venue beforehand
Fear	Nervousness	Education	Exam starts	Begin with easiest questions first	Take regular practice tests
Fear	Worry	Travel	Loved ones traveling	Send positive supportive messages	Agree on check-in schedules
Fear	Worry	Health	Researching symptoms	Limit online health searches	Schedule regular medical checkups
Fear	Worry	Parenting	Children at school	Redirect to past successful times	Join school parent community
Fear	Worry	Global	World events coverage	Limit exposure and take small action	Focus on local community impact
Fear	Worry	Finance	Future financial planning	Create a simple realistic budget	Review finances monthly
Fear	Insecurity	Social	Around successful people	Remember your own achievements	Record accomplishments regularly
Fear	Insecurity	Work	Receiving feedback	Separate feedback from self-worth	Request regular constructive feedback
Fear	Insecurity	Digital	Social comparison	Follow only inspiring accounts	Take periodic social media breaks
Fear	Insecurity	Learning	As a beginner	Accept beginner status openly	Document your learning progress
Fear	Insecurity	Self	Body image concerns	Find genuine aspects to appreciate	Practice positive self-talk daily
Surprise	Amazement	Entertainment	Watching shows	Express wonder freely	Practice regular stargazing
Surprise	Amazement	Sports	Witnessing achievements	Notice physical wonder sensations	Try a new physical activity
Surprise	Amazement	Travel	Natural wonders	Appreciate in silence	Actively seek awe-inspiring places
Surprise	Amazement	Music	Beautiful songs	Identify what creates the amazement	Create a wonder-inducing playlist
Surprise	Amazement	Art	Viewing masterpieces	Examine creative details closely	Visit cultural venues regularly
Surprise	Astonishment	Social	Receiving generous gifts	Focus on feeling seen and valued	Pay kindness forward to others
Surprise	Astonishment	Learning	Revelations	Verbalize the truth discovered	Share with trusted person
Surprise	Astonishment	Sports	Underdog victories	Soak in the collective joy	Revisit highlights later
Surprise	Astonishment	Entertainment	Plot twists	Analyze clues you missed	Watch mind-bending content
Surprise	Astonishment	Work	Sudden solutions	Trace back through the process	Step away when stuck on problems
Surprise	Confusion	Legal	Complex legal documents	Summarize step-by-step	Ask for explanations in simple terms
Surprise	Confusion	Travel	Foreign language situations	Use gestures with friendly smile	Learn basic phrases beforehand
Surprise	Confusion	Work	Technical jargon	Ask for term clarifications	Keep a learning journal
Surprise	Confusion	Home	Assembly projects	Compare visual steps carefully	Organize all materials first
Surprise	Confusion	Digital	New software	Strategically use help features	Explore free programs available
Surprise	Wonder	Nature	Intricate natural patterns	Examine patterns closely	Keep a wonder journal
Surprise	Wonder	Family	Newborn babies	Notice tiny details mindfully	Spend time with young children
Surprise	Wonder	Learning	Scientific facts	Share knowledge with others	Subscribe to learning sources
Surprise	Wonder	Outdoor	Natural phenomena	Watch patterns unfold	Take regular curiosity walks
Surprise	Wonder	Work	Skilled craftsmanship	Observe focused work intently	Practice hands-on hobbies
Neutral	Calmness	Home	Morning routines	Scan body and release tension	Protect quiet morning time
Neutral	Calmness	Outdoor	Near water	Match breathing to water rhythm	Add water elements to space
Neutral	Calmness	Home	After meditation	Carry calm awareness forward	Gradually increase meditation time
Neutral	Calmness	Home	In tidy spaces	Acknowledge the visual peace	Make bed daily as practice
Neutral	Calmness	Home	Listening to calm music	Follow a single melody	Create mood-based playlists
Neutral	Relaxation	Home	Taking warm baths	Feel the weightlessness sensation	Schedule weekly spa time
Neutral	Relaxation	Home	Lazy days off	Give yourself permission to rest	Protect dedicated rest days
Neutral	Relaxation	Wellness	During massages	Focus on tension releasing	Learn self-massage techniques
Neutral	Relaxation	Outdoor	On swings	Feel the rhythmic motion	Find local swinging spots
Neutral	Relaxation	Work	After completing tasks	Verbally declare completion	Create end-of-day rituals
Neutral	Indifference	Travel	On train rides	Observe passing thoughts without judgment	Use passive travel time for rest
Neutral	Indifference	Public	In slow queues	Settle into peaceful boredom	Carry reading material or podcasts
Neutral	Indifference	Social	Uninteresting conversation topics	Practice active listening as exercise	Develop patience through small moments
Neutral	Indifference	Home	Repetitive chores	Allow mind to wander freely	Combine chores with enjoyable audio
Neutral	Indifference	Travel	Daily commutes	Be without pressure or purpose	Try different commute routes
Neutral	Thoughtfulness	Home	Watching rainy windows	Explore what-if questions	Keep a big questions notebook
Neutral	Thoughtfulness	Learning	After reading	Connect ideas to your life	Join discussion groups
Neutral	Thoughtfulness	Outdoor	Solo walks	Allow natural thought flow	Schedule regular thinking walks
Neutral	Thoughtfulness	Cultural	Museum visits	Imagine historical contexts	Visit historical sites regularly
Neutral	Thoughtfulness	Home	Bedtime reflections	Ask meaningful questions	Keep a reflection journal
Neutral	Acceptance	Life	After making decisions	Verbalize acknowledgment of your path	Practice radical acceptance
Neutral	Acceptance	Self	Personal limitations	Reframe as part-not-all of you	Focus on your strengths instead
Neutral	Acceptance	Life	Unchangeable situations	List what factors you can control	Reflect on serenity prayer
Neutral	Acceptance	Relationship	After breakup closure	Feel sadness without blame	Create closure rituals
Neutral	Acceptance	Self	Body acceptance	State functional successes of body	Wear comfortable clothing
Disgust	Aversion	Home	Spoiled food discoveries	Recognize protective instinct	Clean out fridge weekly
Disgust	Aversion	Outdoor	Stepping in mess	Focus on cleaning solution	Practice mindful walking
Disgust	Aversion	Home	Bad odors	Identify and remove source	Use pleasant home scents
Disgust	Aversion	Home	Pest sightings	Take safe removal action	Maintain home preventatively
Disgust	Aversion	Home	Slimy textures encountered	Wash hands mindfully afterward	Use protective gloves
Disgust	Contempt	Politics	Hypocritical leaders	Channel into constructive action	Get involved in politics locally
Disgust	Contempt	Social	Witnessing cruelty	Use as fuel for intervention	Educate yourself on justice issues
Disgust	Contempt	Digital	Animal abuse content	Redirect to helping options	Support animal welfare organizations
Disgust	Contempt	Social	Cruel behaviors observed	Label the behavior not the person	Set firm personal boundaries
Disgust	Contempt	Business	Unethical companies	Make conscious consumer choices	Support ethical businesses
Disgust	Loathing	Self	Harmful personal habits	Separate self from the habit	Seek professional therapeutic support
Disgust	Loathing	Past	Toxic past relationships	Visualize cutting connection cords	Practice release meditation
Disgust	Loathing	Self	Body image issues	Show body parts compassion	Seek trauma-informed therapy
Disgust	Loathing	Past	Regrettable past actions	Remember personal growth since then	Perform self-forgiveness rituals
Disgust	Loathing	Social	Injustice in world	Channel into committed action	Support justice-focused organizations
Disgust	Disapproval	Parenting	Public child shaming witnessed	Shift to universal compassion	Learn positive parenting approaches
Disgust	Disapproval	Social	Friend choices you dislike	Love them despite disapproval	Practice non-judgmental listening
Disgust	Disapproval	Work	Lazy coworkers	Focus on your personal performance	Address issues professionally
Disgust	Disapproval	Social	Wasteful behaviors	Improve your personal habits	Educate by example
Disgust	Disapproval	Social	People gossiping	Change subject while complimenting	Set no-gossip rules
Disgust	Revulsion	Entertainment	Graphic content exposure	Look away and use grounding	Choose uplifting content
Disgust	Revulsion	Home	Extremely dirty spaces	Distract mind while cleaning	Use protective cleaning gear
Disgust	Revulsion	Public	Vomit incidents	Focus on managing your breathing	Concentrate on helping if needed
Disgust	Revulsion	Home	Handling raw meat	Focus on the end meal goal	Use appropriate kitchen tools
Disgust	Revulsion	Outdoor	Encountering insects	Observe as ecosystem members	Learn about beneficial insects
